age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
35,blue-collar,single,high.school,,no,no,jul,thu,117,3,999,1.4,93.918,-42.7,4.958,5228.1,no
52,blue-collar,married,,,yes,no,jun,thu,118,4,999,1.4,94.465,-41.8,4.961,5228.1,no
38,services,married,high.school,,no,no,jun,tue,253,2,999,1.4,94.465,-41.8,4.864,5228.1,no
44,admin.,married,university.degree,no,yes,no,oct,wed,749,1,999,-3.4,92.431,-26.9,0.735,5017.5,yes
25,services,divorced,basic.4y,no,yes,no,may,fri,601,1,999,1.1,93.994,-36.4,4.859,5191,no
49,services,married,high.school,no,no,no,aug,mon,565,1,999,1.4,93.444,-36.1,4.965,5228.1,no
30,technician,divorced,high.school,no,yes,yes,jun,tue,131,2,999,1.4,94.465,-41.8,4.961,5228.1,no
38,blue-collar,married,basic.6y,no,yes,no,may,mon,135,2,999,-1.8,92.893,-46.2,1.299,5099.1,no
34,admin.,married,high.school,no,yes,yes,jul,wed,411,1,999,1.4,93.918,-42.7,4.962,5228.1,no
22,blue-collar,married,basic.9y,no,yes,no,may,thu,23,1,999,-1.8,92.893,-46.2,1.266,5099.1,no
32,self-employed,married,university.degree,no,no,yes,may,mon,133,2,999,-1.8,92.893,-46.2,1.244,5099.1,no
34,services,married,high.school,no,,,jun,wed,187,1,999,1.4,94.465,-41.8,4.959,5228.1,no
49,admin.,divorced,high.school,no,no,no,jun,thu,370,1,999,1.4,94.465,-41.8,4.961,5228.1,no
36,admin.,married,university.degree,no,yes,no,may,fri,322,2,999,1.1,93.994,-36.4,4.859,5191,no
28,blue-collar,divorced,high.school,no,no,no,may,thu,307,1,999,-1.8,92.893,-46.2,1.266,5099.1,yes
58,retired,divorced,high.school,no,no,no,aug,thu,398,2,999,-2.9,92.201,-31.4,0.829,5076.2,yes
58,retired,married,basic.4y,no,yes,no,may,wed,358,2,999,-1.8,92.893,-46.2,1.334,5099.1,no
50,self-employed,single,university.degree,no,no,yes,may,mon,88,5,999,1.1,93.994,-36.4,4.857,5191,no
34,admin.,single,,,yes,no,jul,thu,51,2,999,1.4,93.918,-42.7,4.962,5228.1,no
29,technician,single,professional.course,no,yes,no,aug,thu,94,4,999,1.4,93.444,-36.1,4.962,5228.1,no
51,unemployed,married,high.school,no,yes,yes,sep,fri,240,3,999,-1.1,94.199,-37.5,0.883,4963.6,no
32,retired,married,high.school,no,no,no,may,fri,209,3,999,1.1,93.994,-36.4,4.855,5191,no
53,management,married,,no,yes,yes,jul,mon,88,9,999,1.4,93.918,-42.7,4.962,5228.1,no
31,student,single,,no,no,yes,may,mon,63,3,999,-1.8,92.893,-46.2,1.354,5099.1,no
52,services,married,high.school,,yes,no,may,tue,140,1,999,1.1,93.994,-36.4,4.856,5191,no
38,technician,single,university.degree,no,no,no,apr,fri,301,2,999,-1.8,93.075,-47.1,1.405,5099.1,no
54,admin.,married,high.school,no,no,no,jun,thu,361,1,999,1.4,94.465,-41.8,4.961,5228.1,no
36,entrepreneur,married,university.degree,no,yes,no,may,mon,59,4,999,1.1,93.994,-36.4,4.857,5191,no
34,technician,married,professional.course,,no,no,jun,thu,10,1,999,1.4,94.465,-41.8,4.958,5228.1,no
27,admin.,single,high.school,no,yes,no,jul,thu,130,1,999,1.4,93.918,-42.7,4.958,5228.1,no
42,admin.,married,university.degree,no,no,yes,nov,fri,902,1,999,-0.1,93.2,-42,4.021,5195.8,yes
54,admin.,married,university.degree,no,yes,no,aug,fri,326,3,999,-2.9,92.201,-31.4,0.869,5076.2,yes
32,management,married,university.degree,no,yes,yes,may,wed,36,9,999,-1.8,92.893,-46.2,1.281,5099.1,no
40,admin.,single,university.degree,no,yes,no,jul,fri,198,1,999,1.4,93.918,-42.7,4.962,5228.1,no
34,blue-collar,married,high.school,no,no,no,may,wed,407,2,999,1.1,93.994,-36.4,4.859,5191,no
43,blue-collar,married,basic.6y,,yes,no,apr,fri,19,4,999,-1.8,93.075,-47.1,1.405,5099.1,no
51,housemaid,divorced,high.school,no,yes,no,jul,thu,870,3,999,1.4,93.918,-42.7,4.962,5228.1,no
35,blue-collar,married,basic.9y,no,no,no,may,thu,270,2,999,-1.8,92.893,-46.2,1.327,5099.1,no
39,admin.,married,high.school,no,no,no,nov,mon,1011,1,3,-3.4,92.649,-30.1,0.714,5017.5,no
49,housemaid,married,basic.4y,,yes,no,aug,wed,501,1,999,1.4,93.444,-36.1,4.967,5228.1,yes
