"PROVINCE_NAME","ROUTE_NAME",JDATETIME,GDATETIME,total
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 00:00:00","2023-08-23 00:00:00.0",412
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 01:00:00","2023-08-23 01:00:00.0",387
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 02:00:00","2023-08-23 02:00:00.0",332
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 03:00:00","2023-08-23 03:00:00.0",394
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 04:00:00","2023-08-23 04:00:00.0",376
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 05:00:00","2023-08-23 05:00:00.0",339
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 06:00:00","2023-08-23 06:00:00.0",489
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 07:00:00","2023-08-23 07:00:00.0",700
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 08:00:00","2023-08-23 08:00:00.0",131
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 09:00:00","2023-08-23 09:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 10:00:00","2023-08-23 10:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 11:00:00","2023-08-23 11:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 12:00:00","2023-08-23 12:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 13:00:00","2023-08-23 13:00:00.0",
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 14:00:00","2023-08-23 14:00:00.0",176
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 15:00:00","2023-08-23 15:00:00.0",559
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 16:00:00","2023-08-23 16:00:00.0",616
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 17:00:00","2023-08-23 17:00:00.0",834
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 18:00:00","2023-08-23 18:00:00.0",1012
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 19:00:00","2023-08-23 19:00:00.0",1033
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 20:00:00","2023-08-23 20:00:00.0",882
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 21:00:00","2023-08-23 21:00:00.0",826
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 22:00:00","2023-08-23 22:00:00.0",815
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-01 23:00:00","2023-08-23 23:00:00.0",807
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 00:00:00","2023-08-24 00:00:00.0",695
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 01:00:00","2023-08-24 01:00:00.0",663
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 02:00:00","2023-08-24 02:00:00.0",617
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 03:00:00","2023-08-24 03:00:00.0",668
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 04:00:00","2023-08-24 04:00:00.0",590
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 05:00:00","2023-08-24 05:00:00.0",535
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 06:00:00","2023-08-24 06:00:00.0",869
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 07:00:00","2023-08-24 07:00:00.0",873
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 08:00:00","2023-08-24 08:00:00.0",832
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 09:00:00","2023-08-24 09:00:00.0",774
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 10:00:00","2023-08-24 10:00:00.0",685
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 11:00:00","2023-08-24 11:00:00.0",702
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 12:00:00","2023-08-24 12:00:00.0",561
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 13:00:00","2023-08-24 13:00:00.0",471
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 14:00:00","2023-08-24 14:00:00.0",519
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 15:00:00","2023-08-24 15:00:00.0",623
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 16:00:00","2023-08-24 16:00:00.0",795
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 17:00:00","2023-08-24 17:00:00.0",853
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 18:00:00","2023-08-24 18:00:00.0",1302
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 19:00:00","2023-08-24 19:00:00.0",1212
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 20:00:00","2023-08-24 20:00:00.0",1083
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 21:00:00","2023-08-24 21:00:00.0",1000
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 22:00:00","2023-08-24 22:00:00.0",919
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-02 23:00:00","2023-08-24 23:00:00.0",1007
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 00:00:00","2023-08-25 00:00:00.0",919
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 01:00:00","2023-08-25 01:00:00.0",904
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 02:00:00","2023-08-25 02:00:00.0",776
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 03:00:00","2023-08-25 03:00:00.0",765
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 04:00:00","2023-08-25 04:00:00.0",797
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 05:00:00","2023-08-25 05:00:00.0",752
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 06:00:00","2023-08-25 06:00:00.0",1026
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 07:00:00","2023-08-25 07:00:00.0",924
